FINAL BREAKTHROUGH RANKING FOR 0.84+
====================================================================================================

Rank | Filename | Threshold | Pos Rate | Distance from Ideal
 131 | BT_blend65_t0482286.csv                  |   0.48229 |   0.7699 | 0.01490 ★
 132 | BT_4ce_t0522.csv                         |   0.52200 |   0.7398 | 0.01519 ★
 133 | BT_4ce_t0523.csv                         |   0.52300 |   0.7398 | 0.01519 ★
 134 | BT_4ce_t0524.csv                         |   0.52400 |   0.7398 | 0.01519 ★
 135 | BT_blend55_t0515888.csv                  |   0.51589 |   0.7398 | 0.01519 ★
 136 | BT_blend65_t0518286.csv                  |   0.51829 |   0.7398 | 0.01519 ★
 137 | BT_4ce_t0473000.csv                      |   0.47300 |   0.7709 | 0.01587 ★
 138 | BT_blend70_t0481055.csv                  |   0.48106 |   0.7709 | 0.01587 ★
 139 | BT_blend70_t0521055.csv                  |   0.52106 |   0.7388 | 0.01617 ★
 140 | BT_cur_t0478.csv                         |   0.47800 |   0.7718 | 0.01684 ★
 141 | BT_blend65_t0480286.csv                  |   0.48029 |   0.7718 | 0.01684 ★
 142 | BT_cur_t05.csv                           |   0.50000 |   0.7379 | 0.01714 ★
 143 | BT_blend55_t0517888.csv                  |   0.51789 |   0.7379 | 0.01714 ★
 144 | BT_blend60_t0518137.csv                  |   0.51814 |   0.7379 | 0.01714 ★
 145 | BT_blend60_t0520137.csv                  |   0.52014 |   0.7379 | 0.01714 ★
 146 | BT_blend65_t0520286.csv                  |   0.52029 |   0.7379 | 0.01714 ★
 147 | BT_4ce_t0471000.csv                      |   0.47100 |   0.7728 | 0.01782 ★
 148 | BT_4ce_t0472000.csv                      |   0.47200 |   0.7728 | 0.01782 ★
 149 | BT_4ce_t0525.csv                         |   0.52500 |   0.7369 | 0.01811 ★
 150 | BT_4ce_t0526.csv                         |   0.52600 |   0.7369 | 0.01811 ★
 151 | BT_4ce_t0527.csv                         |   0.52700 |   0.7369 | 0.01811 ★
 152 | BT_blend55_t0519888.csv                  |   0.51989 |   0.7369 | 0.01811 ★
 153 | BT_4ce_t0470000.csv                      |   0.47000 |   0.7738 | 0.01879 ★
 154 | BT_4ce_t0465.csv                         |   0.46500 |   0.7748 | 0.01976 ★
 155 | BT_4ce_t0466.csv                         |   0.46600 |   0.7748 | 0.01976 ★
 156 | BT_4ce_t0467.csv                         |   0.46700 |   0.7748 | 0.01976 ★
 157 | BT_4ce_t0468.csv                         |   0.46800 |   0.7748 | 0.01976 ★
 158 | BT_4ce_t0469000.csv                      |   0.46900 |   0.7748 | 0.01976 ★
 159 | BT_blend60_t0522137.csv                  |   0.52214 |   0.7350 | 0.02005 ★
 160 | BT_cur_t0476.csv                         |   0.47600 |   0.7757 | 0.02073 ★
 161 | BT_cur_t0502.csv                         |   0.50200 |   0.7340 | 0.02102 ★
 162 | BT_4ce_t0464.csv                         |   0.46400 |   0.7767 | 0.02170 ★
 163 | BT_4ce_t0528.csv                         |   0.52800 |   0.7330 | 0.02199 ★
 164 | BT_4ce_t0463.csv                         |   0.46300 |   0.7777 | 0.02267 ★
 165 | BT_4ce_t0462.csv                         |   0.46200 |   0.7786 | 0.02364 ★
 166 | BT_4ce_t0529.csv                         |   0.52900 |   0.7311 | 0.02393 ★
 167 | BT_4ce_t053.csv                          |   0.53000 |   0.7311 | 0.02393 ★
 168 | BT_cur_t0474.csv                         |   0.47400 |   0.7796 | 0.02461 ★
 169 | BT_4ce_t046.csv                          |   0.46000 |   0.7806 | 0.02558 ★
 170 | BT_4ce_t0461.csv                         |   0.46100 |   0.7806 | 0.02558 ★
 171 | BT_4ce_t0531.csv                         |   0.53100 |   0.7291 | 0.02587 ★
 172 | BT_4ce_t0532.csv                         |   0.53200 |   0.7282 | 0.02684 ★
 173 | BT_4ce_t0533.csv                         |   0.53300 |   0.7282 | 0.02684 ★
 174 | BT_cur_t0504.csv                         |   0.50400 |   0.7282 | 0.02684 ★
 175 | BT_4ce_t0534.csv                         |   0.53400 |   0.7272 | 0.02782 ★
 176 | BT_4ce_t0535.csv                         |   0.53500 |   0.7272 | 0.02782 ★
 177 | BT_cur_t0472.csv                         |   0.47200 |   0.7835 | 0.02850 ★
 178 | BT_4ce_t0536.csv                         |   0.53600 |   0.7252 | 0.02976 ★
 179 | BT_cur_t047.csv                          |   0.47000 |   0.7854 | 0.03044 ★
 180 | BT_4ce_t0537.csv                         |   0.53700 |   0.7243 | 0.03073 ★
 181 | BT_cur_t0506.csv                         |   0.50600 |   0.7243 | 0.03073 ★
 182 | BT_4ce_t0538.csv                         |   0.53800 |   0.7233 | 0.03170 ★
 183 | BT_4ce_t0539.csv                         |   0.53900 |   0.7233 | 0.03170 ★
 184 | BT_cur_t0508.csv                         |   0.50800 |   0.7233 | 0.03170 ★
 185 | BT_cur_t0467999.csv                      |   0.46800 |   0.7893 | 0.03432 ★
 186 | BT_4ce_t054.csv                          |   0.54000 |   0.7204 | 0.03461 ★
 187 | BT_4ce_t0540999.csv                      |   0.54100 |   0.7204 | 0.03461 ★
 188 | BT_4ce_t0542.csv                         |   0.54200 |   0.7204 | 0.03461 ★
 189 | BT_cur_t051.csv                          |   0.51000 |   0.7194 | 0.03558 ★
 190 | BT_cur_t0512.csv                         |   0.51200 |   0.7184 | 0.03655 ★
 191 | BT_4ce_t0542999.csv                      |   0.54300 |   0.7175 | 0.03752 ★
 192 | BT_cur_t0465999.csv                      |   0.46600 |   0.7932 | 0.03820 ★
 193 | BT_4ce_t0544.csv                         |   0.54400 |   0.7165 | 0.03850 ★
 194 | BT_cur_t0514.csv                         |   0.51400 |   0.7165 | 0.03850 ★
 195 | BT_4ce_t0544999.csv                      |   0.54500 |   0.7155 | 0.03947 ★
 196 | BT_4ce_t0546.csv                         |   0.54600 |   0.7155 | 0.03947 ★
 197 | BT_4ce_t0546999.csv                      |   0.54700 |   0.7146 | 0.04044 ★
 198 | BT_4ce_t0548.csv                         |   0.54800 |   0.7146 | 0.04044 ★
 199 | BT_4ce_t0548999.csv                      |   0.54900 |   0.7146 | 0.04044 ★
 200 | BT_cur_t0516.csv                         |   0.51600 |   0.7146 | 0.04044 ★
 201 | BT_cur_t0463999.csv                      |   0.46400 |   0.7961 | 0.04112 ★
 202 | BT_4ce_t055.csv                          |   0.55000 |   0.7126 | 0.04238 ★
 203 | BT_4ce_t0550999.csv                      |   0.55100 |   0.7126 | 0.04238 ★
 204 | BT_4ce_t0551999.csv                      |   0.55200 |   0.7126 | 0.04238 ★
 205 | BT_4ce_t0552999.csv                      |   0.55300 |   0.7126 | 0.04238 ★
 206 | BT_4ce_t0553999.csv                      |   0.55400 |   0.7107 | 0.04432 ★
 207 | BT_4ce_t0554999.csv                      |   0.55500 |   0.7087 | 0.04626 ★
 208 | BT_cur_t0518.csv                         |   0.51800 |   0.7087 | 0.04626 ★
 209 | BT_cur_t0461999.csv                      |   0.46200 |   0.8019 | 0.04694 ★
 210 | BT_4ce_t0555999.csv                      |   0.55600 |   0.7078 | 0.04723 ★
 211 | BT_4ce_t0556999.csv                      |   0.55700 |   0.7068 | 0.04820 ★
 212 | BT_cur_t052.csv                          |   0.52000 |   0.7068 | 0.04820 ★
 213 | BT_4ce_t0557999.csv                      |   0.55800 |   0.7058 | 0.04917 ★
 214 | BT_4ce_t0558999.csv                      |   0.55900 |   0.7049 | 0.05015 ★
 215 | BT_4ce_t0559999.csv                      |   0.56000 |   0.7049 | 0.05015 ★
 216 | BT_4ce_t0560999.csv                      |   0.56100 |   0.7049 | 0.05015 ★
 217 | BT_4ce_t0561999.csv                      |   0.56200 |   0.7049 | 0.05015 ★
 218 | BT_4ce_t0563.csv                         |   0.56300 |   0.7049 | 0.05015 ★
 219 | BT_cur_t0522.csv                         |   0.52200 |   0.7039 | 0.05112 ★
 220 | BT_cur_t0459999.csv                      |   0.46000 |   0.8068 | 0.05180 ★
 221 | BT_4ce_t0564.csv                         |   0.56400 |   0.7029 | 0.05209 ★
 222 | BT_4ce_t0565.csv                         |   0.56500 |   0.7010 | 0.05403 ★
 223 | BT_4ce_t0566.csv                         |   0.56600 |   0.7000 | 0.05500 ★
 224 | BT_cur_t0524.csv                         |   0.52400 |   0.7000 | 0.05500 ★
 225 | BT_cur_t0457999.csv                      |   0.45800 |   0.8117 | 0.05665 ★
 226 | BT_4ce_t0567.csv                         |   0.56700 |   0.6961 | 0.05888 ★
 227 | BT_cur_t0526.csv                         |   0.52600 |   0.6961 | 0.05888 ★
 228 | BT_4ce_t0568.csv                         |   0.56800 |   0.6951 | 0.05985 ★
 229 | BT_cur_t0455999.csv                      |   0.45600 |   0.8155 | 0.06053 ★
 230 | BT_cur_t0453999.csv                      |   0.45400 |   0.8165 | 0.06150 ★
 231 | BT_4ce_t0569.csv                         |   0.56900 |   0.6932 | 0.06180 ★
 232 | BT_4ce_t057.csv                          |   0.57000 |   0.6932 | 0.06180 ★
 233 | BT_4ce_t0571.csv                         |   0.57100 |   0.6913 | 0.06374 ★
 234 | BT_4ce_t0572.csv                         |   0.57200 |   0.6903 | 0.06471 ★
 235 | BT_cur_t0528.csv                         |   0.52800 |   0.6893 | 0.06568 ★
 236 | BT_4ce_t0573.csv                         |   0.57300 |   0.6883 | 0.06665 ★
 237 | BT_4ce_t0574.csv                         |   0.57400 |   0.6874 | 0.06762 ★
 238 | BT_4ce_t0575.csv                         |   0.57500 |   0.6864 | 0.06859 ★
 239 | BT_cur_t053.csv                          |   0.53000 |   0.6854 | 0.06956 ★
 240 | BT_4ce_t0576.csv                         |   0.57600 |   0.6845 | 0.07053 ★
 241 | BT_4ce_t0577.csv                         |   0.57700 |   0.6835 | 0.07150 ★
 242 | BT_4ce_t0578.csv                         |   0.57800 |   0.6825 | 0.07248 ★
 243 | BT_4ce_t0579.csv                         |   0.57900 |   0.6816 | 0.07345 ★
 244 | BT_4ce_t058.csv                          |   0.58000 |   0.6816 | 0.07345 ★
 245 | BT_cur_t0532.csv                         |   0.53200 |   0.6806 | 0.07442 ★
